DATE_TIME,QTD_ITENS,QTD_CLIENTES
2019-05-01 05:00:00,45,12
2019-09-16 12:30:00,604,139
2019-03-02 23:30:00,452,60
2019-07-29 21:45:00,811,67
2019-02-04 02:00:00,86,14
2019-06-21 16:45:00,734,118
2019-03-17 14:00:00,923,99
2019-11-26 16:30:00,977,127
2019-10-01 13:30:00,703,131
2019-04-15 21:30:00,497,76
2019-11-20 14:00:00,1609,138
2019-08-11 04:00:00,91,13
2019-07-07 11:45:00,832,88
2019-07-18 08:15:00,224,33
2019-11-05 14:00:00,1163,152
2019-07-05 07:45:00,280,46
2019-06-02 04:15:00,49,10
2019-05-22 09:45:00,847,89
2019-12-26 10:30:00,650,84
2019-01-03 18:00:00,1001,118
2019-07-19 07:30:00,347,66
2019-04-09 04:45:00,15,4
2019-08-20 23:00:00,564,53
2019-10-21 14:00:00,803,131
2019-09-08 21:45:00,823,72
2019-12-23 10:15:00,1102,92
2019-03-12 12:45:00,835,139
2019-02-24 22:15:00,339,65
2019-05-21 22:15:00,695,91
2019-03-10 08:30:00,437,54
2019-02-04 17:15:00,644,97
2019-11-07 16:00:00,745,110
2019-07-03 15:15:00,1180,135
2019-06-17 10:15:00,477,68
2019-01-18 21:30:00,793,86
2019-11-14 15:30:00,847,101
2019-11-04 19:15:00,1158,121
2019-03-10 10:45:00,635,79
2019-10-14 18:15:00,779,113
2019-08-12 06:00:00,100,25
2019-10-26 17:00:00,1344,108
2019-06-20 22:15:00,287,57
2019-09-01 15:15:00,794,82
2019-10-02 14:00:00,1019,149
2019-02-22 06:15:00,150,46
2019-03-30 09:00:00,646,71
2019-11-11 07:30:00,247,63
2019-03-05 18:00:00,659,63
2019-07-06 04:45:00,56,5
2019-07-12 10:00:00,595,98
2019-08-14 00:00:00,370,36
2019-06-08 11:45:00,1030,104
2019-09-03 03:45:00,28,4
2019-11-11 05:15:00,75,12
2019-04-21 12:30:00,889,107
2019-03-28 09:45:00,516,52
2019-07-13 11:00:00,1422,123
2019-03-08 16:15:00,640,102
2019-05-30 06:00:00,124,38
